"STATE/UT","YEAR","DG/ ADG","IG","DIG","SSP/SP/ Ad.SP","ASP/ DySP","Insepctor","Sub Inspector","Asst. Sub Inspector","Head Constable","Below HC above Constable","Constables","TOTAL"
"HIMACHAL PRADESH","2004",14,8,15,56,95,194,522,776,2196,0,7647,11523
"JAMMU & KASHMIR","2004",4,14,21,161,369,679,2097,3006,9940,0,42746,59037
"JHARKHAND","2004",0,0,0,25,71,164,1686,1172,2233,804,14837,20992
"KARNATAKA","2004",2,6,3,67,177,623,1709,2705,11483,0,36544,53319
"KERALA","2004",8,7,10,65,255,383,1675,1701,8117,0,31210,43431
"MADHYA PRADESH","2004",10,20,30,66,672,1060,3238,4192,13418,0,50310,73016
"MAHARASHTRA","2004",12,26,32,166,449,2599,7726,12082,28385,21605,63024,136106
"MANIPUR","2004",3,6,7,56,90,172,589,429,1233,168,10578,13331
"MEGHALAYA","2004",4,4,1,35,53,124,707,171,946,236,6885,9166
"MIZORAM","2004",1,1,4,48,55,143,392,355,1356,495,4260,7110
"NAGALAND","2004",4,7,11,51,52,65,351,206,955,1270,8920,11892
"ODISHA","2004",6,10,14,135,215,561,1968,2477,3712,706,25461,35265
"PUNJAB","2004",12,14,20,182,390,761,2099,4286,11456,0,51760,70980
"RAJASTHAN","2004",11,23,10,214,370,773,2705,3087,5446,0,47875,60514
"SIKKIM","2004",3,5,7,19,35,62,207,159,305,339,2279,3420
"TAMIL NADU","2004",23,21,31,228,531,2523,5880,0,12400,12946,53941,88524
"TRIPURA","2004",3,6,5,33,131,224,931,652,1463,1331,13590,18369
"UTTAR PRADESH","2004",26,57,54,367,735,1367,12292,0,23595,0,118905,157398
"UTTARAKHAND","2004",9,4,4,24,46,71,563,0,1679,0,9773,12173
"WEST BENGAL","2004",23,38,34,135,391,1313,6675,7831,4277,3464,57568,81749
"TOTAL (STATES)","2004",246,373,406,2712,6499,17786,69321,65874,189983,52339,866898,1272437
"A & N ISLANDS","2004",0,1,1,2,12,38,125,199,472,0,1890,2740
"CHANDIGARH","2004",0,1,0,4,11,50,248,185,842,0,2582,3923
"D & N HAVELI","2004",0,0,0,1,1,1,11,2,51,0,157,224
"DAMAN & DIU","2004",0,0,0,1,3,3,10,8,40,0,177,242
"DELHI","2004",4,16,6,56,238,979,3840,5388,13397,0,31145,55069
"LAKSHADWEEP","2004",0,0,0,1,1,5,17,23,64,0,213,324
"PUDUCHERRY","2004",0,1,0,2,17,48,138,89,375,0,1554,2224
"TOTAL (UTs)","2004",4,19,7,67,283,1124,4389,5894,15241,0,37718,64746
"TOTAL (ALL-INDIA)","2004",250,392,413,2779,6782,18910,73710,71768,205224,52339,904616,1337183
"ANDHRA PRADESH","2005",21,21,30,159,330,1132,3667,3074,13381,0,56623,78438
"ARUNACHAL PRADESH","2005",1,0,2,22,55,62,354,157,667,169,4229,5718
"ASSAM","2005",7,11,16,184,270,722,3310,1809,5853,3301,36566,52049
"BIHAR","2005",9,23,18,74,161,540,4283,4062,6561,0,35315,51046
"CHHATTISGARH","2005",9,14,12,78,179,350,759,997,3700,770,16482,23350
"GOA","2005",1,0,2,7,22,49,90,133,694,0,2549,3547
"GUJARAT","2005",18,18,16,65,217,765,1883,7448,10100,0,37067,57597
"HARYANA","2005",20,21,15,61,151,351,1117,2886,5403,0,26256,36281
"HIMACHAL PRADESH","2005",13,9,15,58,88,192,508,757,2256,0,7451,11347
"JAMMU & KASHMIR","2005",11,12,19,184,493,807,2176,4339,8861,11522,36581,65005
"JHARKHAND","2005",0,0,0,25,52,133,1473,1029,3079,89,18683,24563
"KARNATAKA","2005",1,6,4,68,180,619,1747,2742,11558,0,37481,54406
"KERALA","2005",9,8,9,58,292,390,1654,1682,8201,0,30791,43094
"MADHYA PRADESH","2005",10,20,30,182,567,1309,3228,4167,13588,0,51106,74207
"MAHARASHTRA","2005",12,26,32,166,449,2599,7726,12082,28385,21605,63024,136106
"MANIPUR","2005",3,4,8,41,76,202,594,427,1957,11,10273,13596
"MEGHALAYA","2005",4,4,2,33,58,149,712,162,826,299,6680,8929
"MIZORAM","2005",1,1,4,54,76,183,535,506,1384,1034,4314,8092
"NAGALAND","2005",4,7,11,51,53,65,352,205,946,1272,9010,11976
"ODISHA","2005",4,9,16,139,212,573,2071,2473,3651,663,25100,34911
"PUNJAB","2005",12,14,20,182,390,761,2099,4286,11456,0,51760,70980
"RAJASTHAN","2005",9,32,9,243,453,767,2937,3255,8378,0,46600,62683
"SIKKIM","2005",4,7,6,19,67,70,183,264,335,912,1634,3501
"TAMIL NADU","2005",27,24,29,191,681,2369,5525,0,10768,13139,51255,84008
"TRIPURA","2005",3,6,5,33,131,224,931,652,1463,1331,13590,18369
"UTTAR PRADESH","2005",38,58,60,365,757,1262,12404,0,20547,0,117688,153179
"UTTARAKHAND","2005",8,3,3,21,44,67,760,0,1886,0,9155,11947
"WEST BENGAL","2005",24,39,35,131,391,1364,6637,10942,1510,3090,55876,80039
"TOTAL (STATES)","2005",283,397,428,2894,6895,18076,69715,70536,187394,59207,863139,1278964
"A & N ISLANDS","2005",0,1,2,5,12,38,125,199,472,0,1890,2744
"CHANDIGARH","2005",0,1,0,4,13,52,243,164,848,0,2738,4063
"D & N HAVELI","2005",0,0,0,1,1,1,11,1,51,0,157,223
"DAMAN & DIU","2005",0,0,1,2,2,4,10,9,40,0,176,244
"DELHI","2005",4,17,10,59,234,918,3754,5336,13520,0,30314,54166
"LAKSHADWEEP","2005",0,0,0,1,1,5,17,21,63,0,165,273
"PUDUCHERRY","2005",0,1,1,2,19,52,97,89,408,0,1512,2181
"TOTAL (UTs)","2005",4,20,14,74,282,1070,4257,5819,15402,0,36952,63894
"TOTAL (ALL-INDIA)","2005",287,417,442,2968,7177,19146,73972,76355,202796,59207,900091,1342858
"ANDHRA PRADESH","2006",22,22,32,166,340,1190,3560,3047,13548,0,57369,79296
"ARUNACHAL PRADESH","2006",0,1,4,13,44,92,313,148,636,202,3989,5442
"ASSAM","2006",7,11,16,184,270,722,3310,1809,5853,3301,36566,52049
"BIHAR","2006",10,26,20,71,281,526,5031,3504,6567,0,35587,51623
"CHHATTISGARH","2006",7,14,12,89,153,383,882,1235,5114,0,22206,30095
"GOA","2006",1,1,1,7,23,52,149,147,697,0,2444,3522
"GUJARAT","2006",18,18,16,65,275,869,2865,9355,17590,0,52907,83978
"HARYANA","2006",8,13,5,43,135,177,929,2773,4939,0,25458,34480
"HIMACHAL PRADESH","2006",11,9,18,56,78,209,470,782,2398,0,8042,12073
"JAMMU & KASHMIR","2006",4,13,10,172,324,735,2109,2892,9688,40089,3173,59209
"JHARKHAND","2006",0,0,0,28,62,186,1813,1376,3117,0,22184,28766
"KARNATAKA","2006",1,8,2,66,173,609,1726,2712,11474,0,35281,52052
"KERALA","2006",9,11,7,58,304,455,1698,1349,8195,0,31458,43544
"MADHYA PRADESH","2006",10,20,30,172,682,1331,3360,4350,13922,0,52488,76365
"MAHARASHTRA","2006",22,37,45,228,500,2656,8228,12856,31031,25418,72607,153628
"MANIPUR","2006",2,7,5,49,53,221,561,470,1913,27,10943,14251
"MEGHALAYA","2006",4,4,3,33,58,149,712,162,826,299,6680,8930
"MIZORAM","2006",1,1,2,22,91,179,503,400,1344,485,4341,7369
"NAGALAND","2006",4,7,11,51,53,65,350,203,944,1274,8985,11947
"ODISHA","2006",4,10,12,136,190,643,1908,2470,3512,669,29198,38752
"PUNJAB","2006",11,17,25,192,407,769,2124,4304,11620,0,52458,71927
